question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_correct,ans_explanation,ans_image
GFRMLC1TDQ1,1,15,,,hr,,min,,explanation,
GFRMLC1TDQ2,0.58,,,,hr,,,,explanation,
GFRMLC1TSQ1,2.25,,,,hr,,,,explanation,
GFRMLC1TSQ2,2.55,,,,hr,,,,explanation,
GFRMLC2TDQ1,20,,,,m,,,,explanation,
GFRMLC2TDQ2,5,,,,kg,,,,explanation,
GFRMLC2TDQ3,13000,,,,cm²,,,,explanation,
GFRMLC2TSQ1,2500,,,,m,,,,explanation,
GFRMLC2TSQ2,0.35,,,, l,,,,explanation,
GFRMLC2TSQ3,0.0002 ,,,,m²,,,,explanation,
GFRMLC3TDQ1,1,20,,,:,,,,explanation,
GFRMLC3TDQ2,12,13,,,:,,,,explanation,
GFRMLC3TDQ3,1,4,,,:,,,,explanation,
GFRMLC3TSQ1,1,10,,,:,,,,explanation,
GFRMLC3TSQ2,3,7,,,:,,,,explanation,
GFRMLC3TSQ3,2,3,,,:,,,,explanation,
GFRMLC4TDQ1,275,,,,,,,,explanation,
GFRMLC4TDQ2,40,,,,cm,,,,explanation,
GFRMLC4TDQ3,5 ,,,,apples,,,,explanation,
GFRMLC4TSQ1,63,,,,,,,,explanation,
GFRMLC4TSQ2,2,,,,cm,,,,explanation,
GFRMLC4TSQ3,350 ,,,,ml ,,,,explanation,
GFRMLC5TDQ1,Large Can,,,,,,,1,explanation,
GFRMLC5TDQ1,Small Can ,,,,,,,0,explanation,
GFRMLC5TDQ2,Small Apple,,,,,,,1,explanation,
GFRMLC5TDQ2,Large Apple,,,,,,,0,explanation,
GFRMLC5TSQ1,Large Ketchup,,,,,,,1,explanation,
GFRMLC5TSQ1,Large Ketchup,,,,,,,0,explanation,
GFRMLC5TSQ2,Large,,,,,,,1,explanation,
GFRMLC5TSQ2,Small,,,,,,,0,explanation,
GFRMLC6TDQ1,£80: £100:£60,,,,,,,,explanation,
GFRMLC6TDQ2,17:34:17,,,,,,,,explanation,
GFRMLC6TSQ1,21,,,,kg,,,,explanation,
GFRMLC6TSQ2,84,,,,,,,,explanation,
GFRMLC7TDQ1,440.70,,,,$,,,,explanation,
GFRMLC7TDQ2,546,,,,,,,,explanation,
GFRMLC7TSQ1,469,,,,$,,,,explanation,
GFRMLC7TSQ2,2.5,,,,,,,,explanation,
GFRMLC8TDQ1,53.3 ,,,,mph ,,,,explanation,
GFRMLC8TDQ2,4 ,,,,hours ,,,,explanation,
GFRMLC8TDQ3,1.93 ,,,,kg,,,,explanation,
GFRMLC8TSQ1,31,,,,,,,,explanation,
GFRMLC8TSQ2,60 ,,,,mph,,,,explanation,
GFRMLC8TSQ3,8,,,,m³,,,,explanation,
GFRMLC9TDQ1,60 ,,,,miles,,,,explanation,
GFRMLC9TDQ2,330 ,,,,km,,,,explanation,
GFRMLC9TSQ1,324,,,,km,,,,explanation,
GFRMLC9TSQ2,6.5,,,,miles,,,,explanation,
