quiz_name,quiz_code,quiz_desc,quiz_type,quiz_subtyp,Topic_id,course_code,lesson_code
Place Value and Money ,GFN1LQ1,Place Value and Money Lesson Quiz,Lesson , summary,,,GFN1LC1
Negative Number,GFN1LQ2,Negative Number Lesson Quiz,Lesson , summary,,,GFN1LC2
Number Operation ,GFN1LQ3,Number Operation Lesson Quiz,Lesson , summary,,,GFN1LC3
Decimal Operation,GFN1LQ4,Decimal Operation Lesson Quiz,Lesson , summary,,,GFN1LC4
"Squares,Cubes and Roots",GFN1LQ5,"Squares,Cubes and Roots Lesson Quiz",Lesson , summary,,,GFN1LC5
Bidmas,GFN1LQ6,Bidmas Lesson Quiz,Lesson , summary,,,GFN1LC6
Indices,GFN1LQ7,Indices Lesson Quiz,Lesson , summary,,,GFN1LC7
Rounding Numbers and Estimation,GFN1LQ8,Rounding Numbers and Estimation Lesson Quiz,Lesson , summary,,,GFN1LC8
"Factors, Multiples and Primes",GFN1LQ9,"Factors, Multiples and Primes Lesson Quiz",Lesson , summary,,,GFN1LC9
"Primefactors, HCF AND LCM",GFN1LQ10,Primefactors HCF AND LCM Lesson Quiz,Lesson , summary,,,GFN1LC10
