quiz_name,quiz_code,quiz_desc,quiz_type,quiz_subtyp,topic_code,course_code,lesson_code
Number 1,GFN1TDQ,Number 1- Topic Diagnostic Quiz,Topic,diagnostic ,GFN1,,
Number 1,GFN1TSQ,Number 1- Topic Summary Quiz ,Topic, summary,GFN1,,
Number 2 ,GFN2TDQ,Number 2- Topic Diagnostic Quiz,Topic,diagnostic ,GFN2,,
 Number 2 ,GFN2TSQ,Number 2- Topic Summary Quiz ,Topic, summary,GFN2,,
Algebra 1,GFA1TDQ,Algebra 1 - Topic Diagnostic Quiz,Topic, diagnostic ,GFA1,,
Algebra 1,GFA1TSQ,Algebra 1  -Topic  Summary Quiz,Topic, summary,GFA1,,
Algebra 2,GFA2TDQ,Algebra 2 - Topic  Diagnostic Quiz,Topic, diagnostic ,GFA2,,
Algebra 2,GFA2TSQ,Algebra 2 -Topic  Summary Quiz,Topic, summary,GFA2,,
Ratio and Measurement,GFRMTDQ,Ratio and Measurement-Topic Diagnostic Quiz,Topic,diagnostic ,GFRM,,
Ratio and Measurement,GFRMTSQ,Ratio and Measurement-Topic Summary Quiz,Topic, summary,GFRM,,
Geometry 1,GFG1TDQ,Geometry 1-Topic Diagnostic Quiz,Topic, diagnostic ,GFG1,,
Geometry 1,GFG1TSQ,Geometry 1-Topic  Summary Quiz,Topic, summary,GFG1,,
Geometry 2,GFG2TDQ,Geometry 2-Topic Diagnostic Quiz,Topic, diagnostic ,GFG2,,
Geometry 2,GFG2TSQ,Geometry 2-Topic Summary Quiz,Topic, summary,GFG2,,
Probability,GFP1TDQ,Probability-Topic Diagnostic Quiz,Topic, diagnostic ,GFP1,,
Probability,GFP1TSQ,Probability-Topic Summary Quiz,Topic, summary,GFP1,,
Statistics,GFS1TDQ,Statistics-Topic Diagnostic Quiz,Topic,diagnostic ,GFS1,,
Statistics,GFS1TSQ,Statistics-Topic Summary Quiz,Topic, summary,GFS1,,
