id,quiz_name,quiz_code,quiz_desc,quiz_type,quiz_subtype,topic_id,course_code,lesson_code
1,Number 1,GFN1TDQ,Number 1- Diagnostic Quiz,Topic,diagnostic ,GFN1,,
2,Number 1,GFN1TSQ,Number 1- Summary Quiz ,Topic, summary,GFN1,,
3,Number 2 ,GFN2TDQ,Number 2- Diagnostic Quiz,Topic,diagnostic ,GFN2,,
4, Number 2 ,GFN2TSQ,Number 2- Summary Quiz ,Topic, summary,GFN2,,
5,Algebra 1,GFA1TDQ,Algebra 1 - Diagnostic Quiz,Topic, diagnostic ,GFA1,,
6,Algebra 1,GFA1TSQ,Algebra 1  -Summary Quiz,Topic, summary,GFA1,,
7,Algebra 2,GFA2TDQ,Algebra 2 - Diagnostic Quiz,Topic, diagnostic ,GFA2,,
8,Algebra 2,GFA2TSQ,Algebra 2 -Summary Quiz,Topic, summary,GFA2,,
9,Ratio and Measurement,GFRMTDQ,Ratio and Measurement-Diagnostic Quiz,Topic,diagnostic ,GFRM,,
10,Ratio and Measurement,GFRMTSQ,Ratio and Measurement-Summary Quiz,Topic, summary,GFRM,,
11,Geometry 1,GFG1TDQ,Geometry and Measurement 1-Diagnostic Quiz,Topic, diagnostic ,GFG1,,
12,Geometry 1,GFG1TSQ,Geometry and Measurement 1-Summary Quiz,Topic, summary,GFG1,,
13,Geometry 2,GFG2TDQ,Geometry and Measurement 2-Diagnostic Quiz,Topic, diagnostic ,GFG2,,
14,Geometry 2,GFG2TSQ,Geometry and Measurement 2-Summary Quiz,Topic, summary,GFG2,,
15,Probability,GFP1TDQ,Probability-Diagnostic Quiz,Topic, diagnostic ,GFP1,,
16,Probability,GFP1TSQ,Probability-Summary Quiz,Topic, summary,GFP1,,
17,Statistics,GFS1TDQ,Statistics-Diagnostic Quiz,Topic,diagnostic ,GFS1,,
18,Statistics,GFS1TSQ,Statistics-Summary Quiz,Topic, summary,GFS1,,
19,Place Value and Money ,GFN1LQ1,Place Value and Money Quiz,Lesson , summary,,,GFN1LC1
20,Negative Number,GFN1LQ2,Negative Number Quiz,Lesson , summary,,,GFN1LC2
21,Number Operation ,GFN1LQ3,Number Operation Quiz,Lesson , summary,,,GFN1LC3
22,Decimal Operation,GFN1LQ4,Decimal Operation Quiz,Lesson , summary,,,GFN1LC4
23,"Squares,Cubes and Roots",GFN1LQ5,"Squares,Cubes and Roots Quiz",Lesson , summary,,,GFN1LC5
24,Bidmas,GFN1LQ6,Bidmas Quiz,Lesson , summary,,,GFN1LC6
25,Indices,GFN1LQ7,Indices Quiz,Lesson , summary,,,GFN1LC7
26,Rounding Numbers and Estimation,GFN1LQ8,Rounding Numbers and Estimation Quiz,Lesson , summary,,,GFN1LC8
27,"Factors, Multiples and Primes",GFN1LQ9,"Factors, Multiples and Primes Quiz",Lesson , summary,,,GFN1LC9
28,"Primefactors, HCF AND LCM",GFN1LQ10,Primefactors HCF AND LCM Quiz,Lesson , summary,,,GFN1LC10
29,MTH GCSE Maths Foundation 1,1MA1/1F,Edexcel-Mathematics- Paper 1 (Non-Calculator),Course,ExamEdexcel,,MTH-EGF,
